date,prc,ticker
2024-04-25,169.89,AAPL
2024-04-26,169.3,AAPL
2024-04-29,173.5,AAPL
2024-04-30,170.33,AAPL
2024-05-01,169.3,AAPL
2024-05-02,173.03,AAPL
2024-05-03,183.38,AAPL
2024-05-06,181.71001,AAPL
2024-05-07,182.39999,AAPL
2024-05-08,182.74001,AAPL
2024-05-09,184.57001,AAPL
2024-05-10,183.05,AAPL
2024-05-13,186.28,AAPL
2024-05-14,187.42999,AAPL
2024-05-15,189.72,AAPL
2024-05-16,189.84,AAPL
2024-05-17,189.87,AAPL
2024-05-20,191.03999,AAPL
2024-05-21,192.35001,AAPL
2024-05-22,190.89999,AAPL
2024-05-23,186.88,AAPL
2024-05-24,189.98,AAPL
2024-05-28,189.99001,AAPL
2024-05-29,190.28999,AAPL
2024-05-30,191.28999,AAPL
2024-05-31,192.25,AAPL
2024-06-03,194.03,AAPL
2024-06-04,194.35001,AAPL
2024-06-05,195.87,AAPL
2024-06-06,194.48,AAPL
2024-06-07,196.89,AAPL
2024-06-10,193.12,AAPL
2024-06-11,207.14999,AAPL
2024-06-12,213.07001,AAPL
2024-06-13,214.24001,AAPL
2024-06-14,212.49001,AAPL
2024-06-17,216.67,AAPL
2024-06-18,214.28999,AAPL
2024-06-20,209.67999,AAPL
2024-06-21,207.49001,AAPL
2024-06-24,208.14,AAPL
2024-06-25,209.07001,AAPL
2024-06-26,213.25,AAPL
2024-06-27,214.10001,AAPL
2024-06-28,210.62,AAPL
2024-07-01,216.75,AAPL
2024-07-02,220.27,AAPL
2024-07-03,221.55,AAPL
2024-07-05,226.34,AAPL
2024-07-08,227.82001,AAPL
2024-07-09,228.67999,AAPL
2024-07-10,232.98,AAPL
2024-07-11,227.57001,AAPL
2024-07-12,230.53999,AAPL
2024-07-15,234.39999,AAPL
2024-07-16,234.82001,AAPL
2024-07-17,228.88,AAPL
2024-07-18,224.17999,AAPL
2024-07-19,224.31,AAPL
2024-07-22,223.96001,AAPL
2024-07-23,225.00999,AAPL
2024-07-24,218.53999,AAPL
2024-07-25,217.49001,AAPL
2024-07-26,217.96001,AAPL
2024-07-29,218.24001,AAPL
2024-07-30,218.8,AAPL
2024-07-31,222.08,AAPL
2024-08-01,218.36,AAPL
2024-08-02,219.86,AAPL
2024-08-05,209.27,AAPL
2024-08-06,207.23,AAPL
2024-08-07,209.82001,AAPL
2024-08-08,213.31,AAPL
2024-08-09,216.24001,AAPL
2024-08-12,217.53,AAPL
2024-08-13,221.27,AAPL
2024-08-14,221.72,AAPL
2024-08-15,224.72,AAPL
2024-08-16,226.05,AAPL
2024-08-19,225.89,AAPL
